Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM1607867	0.030505612461033	0	0.143922825879931	0.0416468946703323	0	0.0485115847622929	0	0.130713927137592	0.00706382225385479	0.209728722945369	0	0.117921044101966	0.0529172313275616	0	0.0473810024081707	0.0292682502524919	0.0147008959970852	0.0411747594363829	0	0.0845434263659364	0	0	0.214	0.077271288977981	1.07397980248817
GSM1607868	0	0	0.0125555631272432	0.123914598183174	0	0.0440808921932693	0	0.132767125950434	0	0.0180806117938482	0	0.199826954184585	0.0766961289842981	0.0333402523754077	0.0497726916590653	0	0.00721310370608577	0.0313123612617895	0	0.2704397165808	0	0	0.091	0.125097272640091	1.07194525663358
GSM1607869	0.00259654130250687	0	0.0576728489006497	0	0.067310080454016	0.120963514416725	0	0.0256608698004879	0	0	0	0.0869718604900514	0	0.0271115989245751	0.0647729649621102	0.0157280232562218	0.0492794940830875	0.0623732625925898	0	0.418939257481553	0	0.000619683335425567	0.274	0.0598899482986344	1.1115901914124
GSM1607870	0	0.0150558992425556	0.0846516135460703	0.0170598780204049	0	0.105315284686731	0.00425238097030354	0.0841282323704894	0.0157286090699596	0.162940399684452	0	0.143758658719628	0	0.129890011214882	0.0868897021642736	0.0937309056578441	0.0144938168879462	0.00489365428070008	0	0.0372109534837594	0	0	0.213	0.0774783502584373	1.07799246010334
GSM1607871	0	0.00510676752488934	0.0928959135811495	0.171877901314781	0	0	0.0625212129651317	0.118862735688011	0.0187405798272379	0.0761045743778142	0	0.149351257345437	0	0.0795114784726245	0.108940304164527	0.0661180619850918	0.00984408946883264	0	0	0.0401251232844726	0	0	0.00700000000000001	0.279870729603254	0.984633677656631
GSM1607872	0	0.016936613426826	0	0.0228677304121041	0.0185444468568531	0.0153837288212392	0.0084078195612665	0.0484124932631505	0	0.0313451748520839	0	0.122618455566029	0.0411920338598751	0.064385268246019	0.0275231441661629	0.0356681874303612	0	0.0553929638896652	0	0.474725794467911	0	0.0165961451804533	0.236	0.0705161870945919	1.13462014724628
GSM1607873	0.0481877052144404	0	0.0741099469348746	0.0523418924591137	0.0377018803957388	0.12776552559821	0.0106776305004258	0.15185874728722	0	0.0840467363420459	0	0.143824110852079	0.0211484863604888	0.0133905652961431	0.0128892330581445	0.0593212285927222	0.0197491586637018	0.00631819129765366	0	0.136668961146999	0	0	0.273	0.060903128154996	1.08147785816018
GSM1607874	0.0111118988851163	0	0.065352492596725	0	0	0.115747597274921	0	0.0414448896405355	0.0291083349918606	0.0949606727272456	0	0.112719564596605	0.0059644846482188	0.0318720846989705	0.0181962341445625	0.0406742716669257	0.0468265024913013	0.0253384828720696	0	0.360480855795352	0.000201632969590765	0	0.554	0.0166127770481148	1.11873000520655
GSM1607875	0	0	0.0154941902397273	0	0.000933669630647965	0.0663322445900307	0.00180712690603743	0.0365265842509968	0.00829993886746249	0	0	0.0751573230263268	0.0154135532048181	0.271048566154584	0.0293139628349926	0	0.00838918842972233	0.00509346057377563	0	0.436014211215886	0	0.0301759800749916	0.208	0.0794808496308696	1.14031701748001
GSM1607876	0.0369164090711677	0	0.00644037942438294	0.0219728197521149	0	0.191604744551035	0	0.0963873368128044	0.0228701744379284	0.0453915151190296	0	0.144241062200106	0.00642896078613667	0	0.0446888513725062	0.00122200230461785	0.104005557242842	0.0199793284997926	0	0.257850858425536	0	0	0.589	0.0128776727974829	1.10880788635843
